,1,2,3,4,5,6,7
97,"May 04, 2013",nissan,fwd,2013-Apr-03,3.15,02-04-91,69
98,"Jun 11, 1993",nissan,fwd,2000-Nov-18,3.15,,69
99,"Mar 24, 2002",nissan,fwd,01 December 2008,3.33,,97
100,"Aug 07, 2013",nissan,fwd,03 March 2001,3.33,25-09-20,97
101,"May 06, 2005",nissan,fwd,22 December 2015,3.43,,152
102,"Sep 21, 2016",nissan,fwd,2022-Sep-05,3.43,2019/Nov/12,152
103,"Dec 08, 2007",nissan,fwd,07/08/07,3.43,19-02-90,152
104,"Feb 20, 1991",nissan,rwd,08/20/18,3.43,21 July 1993,160
105,"Sep 22, 2021",nissan,rwd,,3.43,1992/Apr/28,200
106,"Mar 18, 2006",nissan,rwd,02/10/22,3.43,23-04-12,160
107,"Mar 02, 2016",peugot,rwd,1997-Mar-23,3.46,1993/Apr/19,97
108,"Jun 26, 1997",peugot,rwd,2002-Sep-21,3.70,,95
109,"Aug 18, 2014",peugot,rwd,10 July 1993,3.46,23 August 2009,97
110,"May 28, 2019",peugot,rwd,2015-May-14,3.70,,95
111,"Apr 16, 1996",peugot,rwd,08/21/05,3.46,2022/Dec/09,95
112,"Jul 06, 2002",peugot,rwd,,3.70,,95
113,"Jan 17, 2018",peugot,rwd,10/03/98,3.46,20 November 2000,95
114,"Jan 07, 2021",peugot,rwd,10 July 1993,3.70,,95
115,"Dec 22, 2005",peugot,rwd,07/08/07,3.46,,97
116,"Nov 05, 2007",peugot,rwd,1992-Mar-21,3.70,1991/Mar/18,95
117,"May 04, 2010",peugot,rwd,2015-May-14,3.61,,142
118,"Feb 18, 1997",plymouth,fwd,2019-Feb-17,2.97,,68
119,"May 16, 2006",plymouth,fwd,,3.03,07 September 2011,102
120,"May 01, 1997",plymouth,fwd,06/14/93,2.97,06-03-21,68
121,"Jan 27, 2010",plymouth,fwd,,2.97,20 November 2000,68
122,"Dec 14, 1996",plymouth,fwd,13 September 2018,2.97,06-07-15,68
123,"Dec 10, 2014",plymouth,fwd,,3.35,2017/Nov/10,88
124,"Apr 19, 2004",plymouth,rwd,23 August 2003,3.59,1999/Nov/10,145
125,"Sep 08, 1993",porsche,rwd,,3.94,,143
126,"Jun 20, 1990",porsche,rwd,02 April 2018,3.74,,207
127,"Nov 08, 2018",porsche,rwd,2015-Mar-01,3.74,02-04-91,207
128,"May 11, 1992",porsche,rwd,16 October 2022,3.74,2003/Jul/16,207
129,"Nov 24, 1993",porsche,rwd,10 July 1993,3.94,1993/Apr/19,288
130,"Nov 11, 2006",renault,fwd,2015-May-14,3.46,28 December 2011,?
131,"Oct 11, 2021",renault,fwd,02 April 2018,3.46,26 May 2016,?
132,"Dec 23, 1996",saab,fwd,09/06/97,3.54,12-11-99,110
133,"Feb 26, 1998",saab,fwd,2005-Nov-17,3.54,23-09-18,110
134,"Dec 19, 1998",saab,fwd,14 December 1995,2.54,25-09-93,110
135,"Aug 02, 1992",saab,fwd,,3.54,,110
136,"Jul 06, 2011",saab,fwd,14 February 1999,3.54,16 September 1999,160
137,"Apr 24, 1996",saab,fwd,2012-Dec-14,3.54,2018/Oct/28,160
138,"Apr 25, 1997",subaru,fwd,2006-Aug-09,3.62,1991/Mar/18,69
139,"Jul 12, 1998",subaru,fwd,1990-May-12,3.62,07 September 2011,73
140,"Oct 11, 2013",subaru,4wd,03 July 2014,3.62,10-03-14,73
141,"Apr 06, 2006",subaru,fwd,,3.62,1999/Dec/13,82
142,"Feb 22, 1993",subaru,fwd,03/17/04,3.62,2006/Jul/27,82
143,"May 02, 2004",subaru,fwd,03/25/18,3.62,,94
144,"Feb 26, 2004",subaru,4wd,1991-Oct-08,3.62,,82
145,"Oct 26, 2022",subaru,4wd,03/20/10,3.62,20-07-90,111
146,"Feb 27, 2019",subaru,fwd,,3.62,05 January 1992,82
147,"Sep 22, 2002",subaru,fwd,1991-Oct-08,3.62,15-04-14,94
148,"Nov 19, 2004",subaru,4wd,2016-Jul-08,3.62,18 August 2014,82
149,"Dec 02, 2014",subaru,4wd,2005-Dec-12,3.62,2012/Dec/21,111
150,"Jul 19, 2007",toyota,fwd,12 September 1993,3.05,25 September 2003,62
151,"Aug 13, 2021",toyota,fwd,1992-May-05,3.05,19-02-20,62
152,"Dec 05, 2001",toyota,fwd,2006-Mar-12,3.05,,62
153,"Sep 17, 2007",toyota,fwd,1993-May-19,3.05,,62
154,"Dec 02, 2011",toyota,4wd,2007-Apr-24,3.05,1991/May/25,62
155,08 May 2016,toyota,4wd,07 April 1996,3.05,2021/May/01,62
156,02 May 2010,toyota,fwd,04/10/04,3.19,10 July 2017,70
157,02 June 2001,toyota,fwd,14 December 1995,3.19,07 September 2011,70
158,20 September 2007,toyota,fwd,,3.27,12-04-22,56
159,01 October 2008,toyota,fwd,2009-May-12,3.27,2017/Nov/10,56
160,08 February 2020,toyota,fwd,09/22/98,3.19,,70
161,17 November 2002,toyota,fwd,,3.19,2021/May/01,70
162,21 June 2003,toyota,fwd,12/18/05,3.19,22 September 1992,70
163,13 November 2022,toyota,rwd,2014-Apr-10,3.19,1991/Dec/22,70
164,06 March 2019,toyota,rwd,03/20/10,3.19,2018/Oct/28,70
165,15 November 2006,toyota,rwd,1993-May-19,3.24,2007/Mar/09,112
166,16 September 2021,toyota,rwd,2015-Mar-01,3.24,02 July 2020,112
167,09 February 2010,toyota,rwd,,3.62,,116
168,06 April 2011,toyota,rwd,2013-Sep-13,3.62,,116
169,08 October 2000,toyota,rwd,2022-May-14,3.62,2013/Apr/17,116
170,19 September 2009,toyota,rwd,2015-May-14,3.62,1999/Nov/10,116
171,01 May 2011,toyota,rwd,,3.62,27-05-93,116
172,07 October 2002,toyota,rwd,2003-Jul-06,3.62,09 March 2017,116
173,14 September 1997,toyota,fwd,2006-Jul-13,3.31,,92
174,12 November 2016,toyota,fwd,1990-Dec-22,3.27,16-03-92,73
175,20 May 2001,toyota,fwd,16 August 1994,3.31,02 July 2020,92
176,03 August 2000,toyota,fwd,,3.31,13 September 1991,92
177,11 October 1991,toyota,fwd,2016-Jul-08,3.31,27-06-99,92
178,25 September 2020,toyota,rwd,,3.27,28 December 2011,161
179,18 December 2007,toyota,rwd,24 March 2019,3.27,,161
180,02 May 1990,toyota,rwd,09 October 1997,3.27,05 September 1999,156
181,24 July 1999,toyota,rwd,2016-Jul-08,3.27,1991/Dec/22,156
182,17 February 1998,volkswagen,fwd,04 April 2014,3.01,,52
183,06 October 1990,volkswagen,fwd,27 February 1994,3.19,11-05-90,85
184,04 March 2006,volkswagen,fwd,,3.01,06 November 1990,52
185,16 April 2002,volkswagen,fwd,11/05/10,3.19,,85
186,18 September 2012,volkswagen,fwd,01/25/20,3.19,2022/Dec/09,85
187,10 December 2010,volkswagen,fwd,1992-Mar-21,3.01,04 April 2004,68
188,14 July 2004,volkswagen,fwd,2020-Nov-28,3.19,16 July 1992,100
189,02 September 2001,volkswagen,fwd,2005-Feb-28,3.19,12-04-22,90
190,14 June 1991,volkswagen,fwd,15 October 1992,3.19,1993/May/17,90
191,05 July 1995,volkswagen,fwd,26 February 2008,3.19,2001/Aug/09,110
192,28 July 2012,volkswagen,fwd,2005-Nov-17,3.01,05-03-02,68
193,24 October 2009,volkswagen,fwd,,3.19,14-03-98,88
194,05 September 1997,volvo,rwd,12 September 1993,3.78,,114
195,28 February 2017,volvo,rwd,2010-Aug-14,3.78,1997/Apr/27,114
196,17 September 2013,volvo,rwd,02/18/91,3.78,,114
197,06 September 2020,volvo,rwd,2013-Sep-13,3.78,03 August 2008,114
198,21 June 2018,volvo,rwd,,3.62,2018/Oct/28,162
199,07 February 2001,volvo,rwd,10/03/98,3.62,,162
200,28 March 1998,volvo,rwd,,3.78,10 April 2019,114
201,18 May 2002,volvo,rwd,23 August 2003,3.78,,160
202,26 May 1992,volvo,rwd,10 July 1993,3.58,2017/Sep/14,134
203,03 June 2006,volvo,rwd,04/11/14,3.01,05 September 1999,106
204,26 October 2011,volvo,rwd,2006-Mar-12,3.78,10 July 2017,114
